fips,Current Price (2021/4/30)
13207,209318
19135,114165
17133,207978
18105,250023
21171,74712
26115,202564
29137,133922
28095,99625
36055,186470
39111,114791
42089,221554
47123,160173
55081,175034
54063,98212
1103,164756
8087,244916
13211,273235
17137,100497
18109,207565
21175,82497
39115,109822
47129,121504
49029,488055
54065,165614
20127,100921
34027,501323
48343,89058
39117,178407
41049,185972
38059,250336
13213,147011
27101,134661
40099,92678
12089,335736
36059,625794
4017,277902
21179,184161
51125,247284
20131,124350
31127,90537
20133,69751
5099,49271
6057,590111
5101,127058
13217,196876
18111,141692
29145,141044
28101,99302
48351,104410
27105,141421
27107,99969
40105,78729
48355,184202
19141,109749
26127,153259
13219,352101
45073,193418
55083,168222
26129,110357
21185,336820
16071,229816
36065,163008
55085,204864
37133,185059
6059,855641
12095,298731
18117,111391
37135,367445
36071,324136
48361,147869
51137,262771
50017,210867
29149,117832
26135,84748
36075,136091
26137,154898
36077,162465
20143,117274
26139,276221
39123,190933
40115,78355
16073,250737
23017,197151
28107,115603
48365,140806
48367,330659
48369,108112
20145,73740
31133,76759
40117,98360
37141,288645
17143,108682
37145,145212
29159,110205
29161,150237
31137,149827
13229,146548
31139,166780
53053,468477
55093,242754
8097,1439250
6061,600523
29165,283327
31141,191580
56031,216795
6063,298237
18127,246633
42105,92007
48375,108201
21197,84308
30077,191478
39135,152950
8101,236268
12107,155311
13237,247832
17155,118758
18133,165021
29171,92376
36079,416310
39137,165250
47141,201822
54079,174457
36081,549616
55101,183141
27123,298822
38071,169190
28121,198325
48383,134587
48389,128365
18137,183815
29181,116889
40131,202186
27135,151885
22085,117562
48403,121953
5125,226971
17165,71573
20169,140172
29195,119480
31151,129791
45081,118231
55113,231836
13249,120760
39145,89717
48415,106294
5129,89181
36099,134042
39147,119046
5133,103456
47155,293766
49041,221009
20175,118809
31159,200294
6089,327264
1117,270509
19165,132462
17173,105541
18145,152941
21211,231310
29205,90857
39149,157959
47157,177602
48419,117891
27143,162879
6091,261945
35051,123731
53057,462693
42109,181572
6095,523357
6097,722655
37167,165662
18149,126101
27147,213416
37169,146421
32029,349086
8117,737839
39153,167950
49043,859941
20191,93613
47165,308398
1119,56294
12119,297525
13261,86903
45085,140564
10005,353400
34037,305747
51183,124854
6101,370439
13263,114293
24041,359690
12123,114987
13269,88580
19173,83722
21217,112218
48441,155564
55119,142062
54091,111205
6103,265016
8119,353400
22107,128337
13275,150555
20193,125275
28139,93383
18159,144104
47167,168454
49045,363246
13279,114853
38097,131601
48453,501581
54093,110506
6107,267787
28143,92360
13287,78791
46125,172901
13289,77210
49047,246182
36111,311786
47171,134501
48459,163274
54097,107067
48463,141494
16085,398476
30105,191380
22115,146401
29217,107710
55123,168125
39163,94869
17185,98000
18169,121911
27159,130731
1127,101342
13295,156849
48471,208052
48473,264481
12131,489839
13297,254853
13301,63991
19181,218862
17187,85764
18171,145723
21227,192990
29219,203409
28149,133962
37185,157627
34041,290408
36113,244164
39165,290748
42123,94601
47177,139771
51187,284479
27161,182251
32031,467234
56045,197225
54103,75686
1131,87317
13315,76155
13317,102413
37193,148737
27167,153770
20205,72154
37195,132007
47189,345849
48493,314969
27169,205150
19197,84346
27171,306339
29229,127101
37197,142435
53077,277288
37199,199141
48501,131957
48505,101499
48507,67855
50001,285433
12001,226326
6001,1033450
8003,194073
40003,73295
26005,239019
51009,175456
48003,182732
13001,100378
48007,240675
39005,154593
55003,118137
29007,107661
19009,76658
51015,248604
1001,216551
1003,256992
13009,148296
21007,89433
45009,72977
48019,246451
16005,244981
1005,103831
54001,74176
48021,281968
40009,104107
42009,155333
47003,201359
51019,249968
33001,329715
39013,117245
16009,199777
13019,113745
26021,205776
16011,249563
47007,118122
22015,178816
8013,644383
20011,75011
21017,151603
21023,100952
5011,64110
47011,205822
54007,81668
12009,260690
25005,404198
44001,429533
51520,108591
12011,312818
31019,223483
55011,149159
21029,222573
13031,159679
1011,71183
55013,184246
1015,115829
5013,60832
12013,113541
13037,57979
19025,88527
17013,112064
26025,142562
28013,82606
45017,178842
48057,153635
54013,63020
55015,163353
24009,394170
42021,87073
22023,156728
42023,64334
48061,124353
13043,124357
16029,217014
27017,192822
5015,152872
13045,196536
19027,143467
17015,107637
18015,145554
21041,94495
24013,392372
29033,89698
33003,345068
39019,147958
